expression,reading,meaning,tags,guid
絶大な,ぜつだいな,절대적인,JLPT_1 JLPT,ihMqPq;3sp
せつない,せつない,애달프다,JLPT_1 JLPT,wp>$FP&Sg6
設立,せつりつ,설립,JLPT_1 JLPT,ef;0aCDH/<
セレモニー,セレモニー,"세레모니, 의식",JLPT_1 JLPT,;AsyA<jT%V
選考,せんこう,"선고, 전형",JLPT_1 JLPT,)rO(5gF6OF
センサー,センサー,센서,JLPT_1 JLPT,]np6ziO^BB
センス,センス,센스,JLPT_1 JLPT,",HlIouJ~*("
壮大,そうだい,장대함,JLPT_1 JLPT,<_S|ccms/s
備わる,そなわる,갖추어지다,JLPT_1 JLPT,yKGWi-1zjL
そっけない,そっけない,"무정하다, 냉담하다",JLPT_1 JLPT,[jRGmy@]#{
そわそわ,そわそわ,안절부절 못함,JLPT_1 JLPT,",^G9wM.NI4"
ぞんざい,ぞんざい,아무렇게나 함,JLPT_1 JLPT,|Qs8.di$4^
存続,そんぞく,존속,JLPT_1 JLPT,5[xSF_s%]l
対処,たいしょ,대처,JLPT_1 JLPT,.%.]}HeI{7
大胆,だいたん,대담함,JLPT_1 JLPT,2j3!3z+~5/
台無し,だいなし,엉망이 됨,JLPT_1 JLPT,"*7OAKt,(4="
打開,だかい,타개,JLPT_1 JLPT,d.qxMb<_Wv
多角的,たかくてき,다각적,JLPT_1 JLPT,",Lq0($6O@w"
妥協,だきょう,타협,JLPT_1 JLPT,KV[K=y6bQu
たくましい,たくましい,늠름하다,JLPT_1 JLPT,f5hg@`Q*kF
打診,だしん,타진,JLPT_1 JLPT,GLq*lTI{Zo
たたえる,たたえる,"칭찬하다, 기리다",JLPT_1 JLPT,AhE&i2$ErK
立て替える,たてかえる,대신 갚아주다,JLPT_1 JLPT,Q0z>bGfaGd
たどる,たどる,길을 따라가다,JLPT_1 JLPT,YD2l_nVkuF
だぶだぶ,だぶだぶ,헐렁헐렁,JLPT_1 JLPT,)/7Zp4Qzlg
ためらう,ためらう,주저하다,JLPT_1 JLPT,p.*e<hg-ni
保つ,たもつ,유지하다,JLPT_1 JLPT,meBNF0rOL&
だるい,だるい,나른하다,JLPT_1 JLPT,"{,^A[P$ZeZ"
断言,だんげん,단언,JLPT_1 JLPT,5c:Ts0**HP
短縮,たんしゅく,단축,JLPT_1 JLPT,Q_xd+GozN4
忠告,ちゅうこく,충고,JLPT_1 JLPT,?T6/ojN%i<
仲裁,ちゅうさい,중재,JLPT_1 JLPT,l{O-yBzW5e
忠実に,ちゅうじつに,충실히,JLPT_1 JLPT,3@uSTPh@F3
直面,ちょくめん,직면,JLPT_1 JLPT,q!NR^JUA#=
直感的に,ちょっかんてきに,직감적으로,JLPT_1 JLPT,811Qp3;83D
使いこなす,つかいこなす,"잘 다루다, 구사하다",JLPT_1 JLPT,iPUN2]f?%D
(最善を)尽くす,(さいぜんを)つくす,(최선을) 다하다,JLPT_1 JLPT,6rOoY1.]4}
つくづく,つくづく,"정말, 매우, 절실히",JLPT_1 JLPT,0Y|rO6!N5W
つじつま,つじつま,"사리, 이치",JLPT_1 JLPT,&0%oC@Y]bk
強み,つよみ,"강점, 장점",JLPT_1 JLPT,4c4mkI%-?j
貫く,つらぬく,관철하다,JLPT_1 JLPT,4ArB$wmD60
データ,データ,데이터,JLPT_1 JLPT,MB&QAhtmV/
手遅れ,ておくれ,"때늦음, 시기를 놓침",JLPT_1 JLPT,]Q=1aI?p?K
てがかり,てがかり,"단서, 실마리",JLPT_1 JLPT,jB8W*fTN.:
適応,てきおう,적응,JLPT_1 JLPT,<Qi4.-qFYh
てきぱきと,てきぱきと,일을 척척 해내는 모양,JLPT_1 JLPT,[od8%B)p:]
てぎわ,てぎわ,"솜씨, 수완",JLPT_1 JLPT,^%/wH*:vO=
デザイン,デザイン,디자인,JLPT_1 JLPT,"pf9aBZ6C,W"
デザート,デザート,"디저트, 후식",JLPT_1 JLPT,CDm+2|GR.>
手先,てさき,손재주,JLPT_1 JLPT,Gw_3#W)fFh
手順,てじゅん,"순서, 절차",JLPT_1 JLPT,[e5mBo6Le/
撤去,てっきょ,철거,JLPT_1 JLPT,QIG+fRR|t[
てっきり,てっきり,틀림없이,JLPT_1 JLPT,^O=4+j-Sk>
手配,てはい,준비,JLPT_1 JLPT,8ak4{RV)I_
同意,どうい,동의,JLPT_1 JLPT,#51EwvILrK
同感,どうかん,동감,JLPT_1 JLPT,H@tL9}EjPX
統合,とうごう,통합,JLPT_1 JLPT,":z<A`sQ4c,"
踏襲する,とうしゅうする,답습하다,JLPT_1 JLPT,^`sW@^ODo(
到底,とうてい,도저히,JLPT_1 JLPT,Rgou#sMdZf
