expression,reading,meaning,tags,similar_guid,guid
しくじる,しくじる,망치다,JLPT_1 JLPT,afi$RI6PHk,CE)8x}v?cK
失敗する,しっぱいする,실패하다,JLPT_1 JLPT,CE)8x}v?cK,afi$RI6PHk
自尊心,じそんしん,자존심,JLPT_1 JLPT,m}>aOc!N1p,K4iU0{q8?&
プライド,ぷらいど,"프라이드, 자존심",JLPT_1 JLPT,K4iU0{q8?&,m}>aOc!N1p
シビアだ,しびあだ,엄격하다,JLPT_1 JLPT,"esk,aQiml5",nbSztZccOx
厳しい,きびしい,엄격하다,JLPT_1 JLPT,nbSztZccOx,"esk,aQiml5"
しぶっている,しぶっている,주저하다,JLPT_1 JLPT,",M5;5_3|)0",*R3w_;x5pZ
なかなかしようとしない,なかなかしようとしない,좀처럼 하려고 하지 않다,JLPT_1 JLPT,*R3w_;x5pZ,",M5;5_3|)0"
自前,じまえ,"자비, 스스로 부담함",JLPT_1 JLPT,EM;JR00$Y$,7E&vIm:`00
自分で買う,じぶんでかう,자기가 사다,JLPT_1 JLPT,7E&vIm:`00,EM;JR00$Y$
尺度,しゃくど,척도,JLPT_1 JLPT,M`hk[nu{j},0o--u7>/<E
基準,きじゅん,기준,JLPT_1 JLPT,0o--u7>/<E,M`hk[nu{j}
若干,じゃっかん,약간,JLPT_1 JLPT,Vfe>[T?.uw,8d]8~+Thk4
わずか・いくつか,わずか・いくつか,"조금, 약간",JLPT_1 JLPT,8d]8~+Thk4,Vfe>[T?.uw
従来,じゅうらい,종래,JLPT_1 JLPT,lsx]2Lz)}/,[(YOr;ar?0
これまで,これまで,지금까지,JLPT_1 JLPT,[(YOr;ar?0,lsx]2Lz)}/
出馬する,しゅつばする,출마하다,JLPT_1 JLPT,16!<^eMsv$,*sJCllp=5M
選挙に出る,せんきょにでる,선거에 나가다,JLPT_1 JLPT,*sJCllp=5M,16!<^eMsv$
手腕,しゅわん,수완,JLPT_1 JLPT,LJn:EOpo1;,"BSK,.*DkiV"
能力,のうりょく,능력,JLPT_1 JLPT,"BSK,.*DkiV",LJn:EOpo1;
照会する,しょうかいする,조회하다,JLPT_1 JLPT,l[J8{$UB6~,g-$~K:[G01
問い合わせる,といあわせる,문의하다,JLPT_1 JLPT,g-$~K:[G01,l[J8{$UB6~
触発される,しょくはつされる,"촉발되다, 자극받다",JLPT_1 JLPT,-GgZ}?Z|cg,}Q-6Y5C|CA
刺激をうける,しげきをうける,자극을 받다,JLPT_1 JLPT,}Q-6Y5C|CA,-GgZ}?Z|cg
助言,じょげん,조언,JLPT_1 JLPT,"cpP,8&lo=W",E[^7[j*cXX
アドバイス,あどばいす,"어드바이스, 충고",JLPT_1 JLPT,E[^7[j*cXX,"cpP,8&lo=W"
試練,しれん,시련,JLPT_1 JLPT,F9RKLt}#1R,AlkcyGp(b}
苦難,くなん,고난,JLPT_1 JLPT,AlkcyGp(b},F9RKLt}#1R
進呈する,しんていする,"증정하다, 드리다",JLPT_1 JLPT,ML[rXbfRCq,yp*`]KyTOj
差し上げる,さしあげる,드리다,JLPT_1 JLPT,yp*`]KyTOj,ML[rXbfRCq
辛抱,しんぼう,참음,JLPT_1 JLPT,a].hqtHwy4,&MVpmckf4@
我慢,がまん,"참음, 견딤",JLPT_1 JLPT,&MVpmckf4@,a].hqtHwy4
すがすがしい,すがすがしい,"상쾌한, 시원한",JLPT_1 JLPT,"fY$pT%B,p(",w%{x1KMb`H
爽やかな,さわやかな,상쾌한,JLPT_1 JLPT,w%{x1KMb`H,"fY$pT%B,p("
スケール,すけーる,"스케일, 규모",JLPT_1 JLPT,Fa2hr|Gn8O,ifdU@TUz:c
規模,きぼ,규모,JLPT_1 JLPT,ifdU@TUz:c,Fa2hr|Gn8O
ストレートに,すとれーとに,단도직입적으로,JLPT_1 JLPT,*)xlv+:Nw8,F_9QUFs<}$
率直に,そっちょくに,솔직하게,JLPT_1 JLPT,F_9QUFs<}$,*)xlv+:Nw8
すべがない,すべがない,방법이 없다,JLPT_1 JLPT,aM3{sZ.a;D,qw$yID:w){
方法がない,ほうほうがない,방법이 없다,JLPT_1 JLPT,qw$yID:w){,aM3{sZ.a;D
スポット,すぽっと,장소,JLPT_1 JLPT,O_Z[3OEf4:,#B]glAR9wO
場所,ばしょ,장소,JLPT_1 JLPT,#B]glAR9wO,O_Z[3OEf4:
すみやかに,すみやかに,"빨리, 신속히",JLPT_1 JLPT,!r*nZ)2=bW,E6(g@.=O[t
できるだけはやく,できるだけはやく,가능한 한 빨리,JLPT_1 JLPT,E6(g@.=O[t,!r*nZ)2=bW
スライスして,すらいすして,슬라이스 해서,JLPT_1 JLPT,cff:mz]25`,m{hC8;dK=w
薄く切って,うすくきって,얇게 잘라서,JLPT_1 JLPT,m{hC8;dK=w,cff:mz]25`
ずれ込みそうだ,ずれこみそうだ,늦어질 것 같다,JLPT_1 JLPT,smO.<S)>Hr,m1#@yD[kGI
遅くなりそうだ,おそくなりそうだ,늦어질 것 같다,JLPT_1 JLPT,m1#@yD[kGI,smO.<S)>Hr
せかす,せかす,재촉하다,JLPT_1 JLPT,psnIN`n<RO,"1$n#.{,ndj"
急がせる,いそがせる,재촉하다(＝急かす),JLPT_1 JLPT,"1$n#.{,ndj",psnIN`n<RO
絶賛する,ぜっさんする,극찬하다,JLPT_1 JLPT,T)|l5Dh;}%,V8v0j3kxM%
非常に素晴らしいとほめる,ひじょうにすばらしいとほめる,매우 훌륭하다고 칭찬하다,JLPT_1 JLPT,V8v0j3kxM%,T)|l5Dh;}%
先方,せんぽう,상대편,JLPT_1 JLPT,$a+(GY-^+H,(Ax19]dd[(
相手,あいて,상대,JLPT_1 JLPT,(Ax19]dd[(,$a+(GY-^+H
ぞんざいな,ぞんざいな,"함부로 하는, 거친",JLPT_1 JLPT,!g#0WW[?`7,vR-3={%?Ki
雑な,ざつな,"거친, 조잡한",JLPT_1 JLPT,vR-3={%?Ki,!g#0WW[?`7
打撃,だげき,타격,JLPT_1 JLPT,~Xp;N.o8.`,"~%,K7~A[M3"
ダメージ,だめーじ,"대미지, 피해",JLPT_1 JLPT,"~%,K7~A[M3",~Xp;N.o8.`
端的に,たんてきに,단적으로,JLPT_1 JLPT,X[wPyOy=D),tu?~%G?mQS
明白に,めいはくに,명백하게,JLPT_1 JLPT,tu?~%G?mQS,X[wPyOy=D)
断念する,だんねんする,단념하다,JLPT_1 JLPT,8=:sAk^sf[,NC^1@`VvOp
あきらめる,あきらめる,포기하다,JLPT_1 JLPT,NC^1@`VvOp,8=:sAk^sf[
丹念に,たんねんに,정성을 들여,JLPT_1 JLPT,6T9mOeMUoS,IG8uxl@L2c
じっくりと,じっくりと,꼼꼼히,JLPT_1 JLPT,IG8uxl@L2c,6T9mOeMUoS
着手して,ちゃくしゅして,착수해서,JLPT_1 JLPT,b<<2lD&RQD,RdUTTnDCAu
始めて,はじめて,시작해서,JLPT_1 JLPT,RdUTTnDCAu,b<<2lD&RQD
調達した,ちょうたつした,조달했다,JLPT_1 JLPT,?{1%4uaQGj,"_,hU`uK3G{"
用意した,よういした,준비했다,JLPT_1 JLPT,"_,hU`uK3G{",?{1%4uaQGj
重宝している,ちょうほうしている,쓸모가 있어 편리하다,JLPT_1 JLPT,uZ=y~+8*C6,p0_ZE;nm;5
便利で役に立っている,べんりでやくにたっている,편리해서 도움이 된다,JLPT_1 JLPT,p0_ZE;nm;5,uZ=y~+8*C6
つかの間,つかのま,"잠깐 동안, 순간",JLPT_1 JLPT,v{/bjkiJ_},}pks<^ZjI}
短い間,みじかいあいだ,짧은 동안,JLPT_1 JLPT,}pks<^ZjI},v{/bjkiJ_}
つぶさに,つぶさに,"자세히, 구체적으로",JLPT_1 JLPT,QA3g1rUmbB,MHcjCQC4D;
詳細に,しょうさいに,상세하게,JLPT_1 JLPT,MHcjCQC4D;,QA3g1rUmbB
つぶやく,つぶやく,"중얼거리다, 투덜대다",JLPT_1 JLPT,l1;RPLO7XR,[4H!D78pGS
小さな声で言う,ちいさなこえでいう,작은 목소리로 말하다,JLPT_1 JLPT,[4H!D78pGS,l1;RPLO7XR
手がかり,てがかり,단서,JLPT_1 JLPT,e:8ut%^R2e,f%.h7cCb#s
ヒント,ひんと,힌트,JLPT_1 JLPT,f%.h7cCb#s,e:8ut%^R2e
てきぱきと,てきぱきと,(일을) 척척,JLPT_1 JLPT,Idyp1Gr^n`,~(L:-lyzVS
早く正確に,はやくせいかくに,빠르고 정확하게,JLPT_1 JLPT,~(L:-lyzVS,Idyp1Gr^n`
手立て,てだて,"방법, 방도",JLPT_1 JLPT,*^kqaZM61L,beeB>_SVkk
方法,ほうほう,방법,JLPT_1 JLPT,beeB>_SVkk,*^kqaZM61L
撤回した,てっかいした,철회했다,JLPT_1 JLPT,"UYMb[y+q,-",r`fxae>%@&
とりけした,とりけした,취소했다,JLPT_1 JLPT,r`fxae>%@&,"UYMb[y+q,-"
手分け,てわけ,분담,JLPT_1 JLPT,kc24!A9~oo,qh:`8RFlq=
分担,ぶんたん,분담,JLPT_1 JLPT,qh:`8RFlq=,kc24!A9~oo
当面ない,とうめんない,당분간 없다,JLPT_1 JLPT,0-Ul*a~+;9,M/gc@4JF9M
しばらくない,しばらくない,당분간 없다,JLPT_1 JLPT,M/gc@4JF9M,0-Ul*a~+;9
とまどって,とまどって,당황해서,JLPT_1 JLPT,0E_RCSl-%7,"OaJ!(:VMQ,"
困って,こまって,"곤란해서, 난처해서",JLPT_1 JLPT,"OaJ!(:VMQ,",0E_RCSl-%7
トレンド,とれんど,"트렌드, 경향",JLPT_1 JLPT,~F#yX{6Z=V,@xLPnGIF]k
傾向,けいこう,경향,JLPT_1 JLPT,@xLPnGIF]k,~F#yX{6Z=V
どんよりした天気だ,どんよりしたてんきだ,날씨가 잔뜩 흐리다,JLPT_1 JLPT,.xV6b`3|6*,);OoH3{i4+
曇っていて暗い,くもっていてくらい,흐려서 어둡다,JLPT_1 JLPT,);OoH3{i4+,.xV6b`3|6*
なじむ,なじむ,친숙해지다,JLPT_1 JLPT,"#,ZZ$,Z6=#",(_vb+s2.<h
慣れる,なれる,친숙해지다,JLPT_1 JLPT,(_vb+s2.<h,"#,ZZ$,Z6=#"
難点,なんてん,"난점, 단점",JLPT_1 JLPT,H|B^eRK72y,9.an{{YDRh
悪いところ,わるいところ,"나쁜 점, 단점",JLPT_1 JLPT,9.an{{YDRh,H|B^eRK72y
入念に,にゅうねんに,"자세히, 정성을 들여",JLPT_1 JLPT,&QD(FMPcBV,*W$h7IgW/V
細かく丁寧に,こまかくていねいに,세심하게 공들여,JLPT_1 JLPT,*W$h7IgW/V,&QD(FMPcBV
にわかには,にわかには,갑자기는,JLPT_1 JLPT,G#JW8CC<U7,m6Vr_#p~;7
すぐには,すぐには,바로는,JLPT_1 JLPT,m6Vr_#p~;7,G#JW8CC<U7
根こそぎ,ねこそぎ,"전부, 몽땅",JLPT_1 JLPT,dq>KhUBT%0,o!AO/%k0%i
すべて,すべて,"모두, 전부",JLPT_1 JLPT,o!AO/%k0%i,dq>KhUBT%0
粘り強く,ねばりづよく,끈기 있게,JLPT_1 JLPT,P+V1j8@M}F,ovr]8:1#w=
